Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-02-08,3376.953857421875,3395.948495347135,3336.6137901921215,3336.6137901921215,1986946
2023-02-09,3396.8603515625,3403.335860759634,3362.755956281745,3372.0614559891865,1655427
2023-02-10,3393.695068359375,3398.299922512969,3365.4904830514956,3376.858694785748,1187821
2023-02-13,3340.787353515625,3404.679143727071,3332.153340471516,3404.679143727071,1087939
2023-02-14,3357.767822265625,3381.51135853098,3352.875121107725,3362.468469093727,1579818
2023-02-15,3377.4814453125,3382.6139793803054,3319.4416989277843,3345.1999279918105,1429449
2023-02-16,3413.361083984375,3429.6217612968176,3383.5736928933916,3383.765513002555,1618931
2023-02-17,3358.774658203125,3394.989543850349,3348.078169769837,3382.758026181419,1061369
2023-02-20,3345.488037109375,3378.776905261915,3333.7361867148666,3359.590210740269,1296082
2023-02-21,3310.6640625,3366.2094481597255,3304.668220601818,3351.91545475949,1139541
2023-02-22,3263.22509765625,3306.8268142919965,3256.941408332268,3276.0800893531477,1218430
2023-02-23,3274.976806640625,3312.0069850914083,3269.4126186044764,3281.8839695557263,1441570
2023-02-24,3262.169921875,3294.3076371632815,3244.7580892172823,3283.323300720701,977592
2023-02-27,3196.35986328125,3252.145090244502,3181.1543124633536,3252.145090244502,1128022
2023-02-28,3178.132568359375,3254.0638284544516,3165.708994615912,3193.146065156439,4116217
2023-03-01,3248.01953125,3251.185382684684,3180.194613042115,3187.869290841312,1669307
2023-03-02,3186.382080078125,3232.861797811115,3183.0724223223824,3224.3238129673077,1556538
2023-03-03,3206.240478515625,3221.4460276916975,3195.64001710487,3217.608688766514,1043190
2023-03-06,3234.7333984375,3266.487242336078,3222.4058515839943,3225.187829042024,1334132
2023-03-08,3252.5283203125,3257.9006883953557,3195.400125469975,3227.201977550641,1844590
2023-03-09,3201.156494140625,3247.348372130048,3195.4004852092276,3247.348372130048,1648500
2023-03-10,3195.544189453125,3201.5400318980614,3156.2114630143446,3178.180136047552,1024404
2023-03-13,3148.48828125,3232.765923228851,3138.942948405277,3197.4623615631995,1901233
2023-03-14,3084.213134765625,3170.025579282181,3078.8887801864644,3146.6179056205237,2670334
2023-03-15,3068.81591796875,3127.767227260773,3062.1966017064888,3117.8380186547897,1780522
2023-03-16,3055.4814453125,3088.8663443675405,3043.0100924744897,3077.546146487441,1901060
2023-03-17,3050.01318359375,3090.401038240357,3016.1486182322737,3022.3842944468124,6739966
2023-03-20,3015.4765625,3040.754889248125,2969.188667014213,3040.754889248125,2289468
2023-03-21,2979.789794921875,3028.3800068830346,2971.4914087114084,3015.477001189692,1815297
2023-03-22,3003.485595703125,3015.6691014575526,2979.790071746855,3002.76609456551,1123939
2023-03-23,2997.585205078125,3018.4029563299578,2974.8970321362567,2988.231691352447,1372218
2023-03-24,2993.60400390625,3041.0910727071987,2979.6936504191035,3020.8490163615606,1329577
2023-03-27,2995.33056640625,3024.5422590893177,2979.6933650722135,3007.514069382289,1524217
2023-03-28,2989.19091796875,3021.472671366461,2983.674743406983,2999.839626894756,1303530
2023-03-29,3011.255859375,3021.90456916089,2977.8711962667257,3001.7585386998176,1740616
2023-03-31,3075.531005859375,3082.3423758807726,3023.8229594697154,3060.2296643124405,2382581
2023-04-03,3069.871337890625,3093.8066941357215,3044.688799571991,3093.8066941357215,1521830
2023-04-05,3108.052490234375,3131.6042030702424,3055.960571154015,3055.960571154015,2655065
2023-04-06,3089.7294921875,3124.889252550946,3084.2613307608626,3093.8546786014876,1703464
2023-04-10,3130.6923828125,3138.942753906931,3084.260682705007,3089.057355617457,2203187
2023-04-11,3083.10986328125,3139.8544163204583,3062.340126784482,3131.26841771611,2348779
2023-04-12,3109.82763671875,3128.34284565366,3068.9121001840817,3096.684796480145,2417727
2023-04-13,3059.174560546875,3098.6510898799756,3050.6843547425146,3079.4643958249912,4174070
2023-04-17,3011.8310546875,3034.759058536172,2945.397131917279,3006.650741398382,5505048
2023-04-18,3003.436767578125,3028.475494061607,2984.106269275058,3026.6526178131185,2617302
2023-04-19,2963.960693359375,3012.3110703577922,2946.5966409566745,3003.437224051802,3298034
2023-04-20,2978.54248046875,2986.4089783169507,2952.8322631736505,2964.3442797942107,2419999
2023-04-21,3032.3134765625,3035.7669412925025,2974.705375354291,2983.531208614425,1929184
2023-04-24,3045.69580078125,3051.595615401225,2999.0240278897422,3022.9596156191183,1640676
2023-04-25,3046.84716796875,3061.429009335655,3019.506127576083,3053.562511223089,2024090
2023-04-26,3068.096435546875,3077.9296170501275,3051.6439377411043,3051.6439377411043,2000029
2023-04-27,3058.31103515625,3069.1035506199446,3041.714497867342,3055.481044610507,2434446
2023-04-28,3088.338134765625,3096.01281212157,3066.273437367284,3070.254582560654,2931312
2023-05-02,3088.482666015625,3103.4483840565563,3079.465011691359,3103.4483840565563,2321159
2023-05-03,3050.58837890625,3085.22045594313,3044.1128695537577,3085.22045594313,2468285
2023-05-04,3089.7294921875,3093.3269976277343,3048.7659437505513,3050.828419851248,1953253
2023-05-05,3099.322998046875,3112.0821981679514,3079.5128274310023,3089.058162176573,1710027
2023-05-08,3118.41357421875,3122.4907468306583,3099.8983670445105,3113.041206033321,928235
2023-05-09,3149.736083984375,3163.8862727420906,3114.000861528449,3120.3325650982997,1107375
2023-05-10,3153.1416015625,3172.0404498848784,3133.2354048786615,3156.2114260158023,1559987
2023-05-11,3148.680419921875,3175.1101388238253,3138.9432660060643,3174.438651349042,1719623
2023-05-12,3141.14990234375,3156.211411476973,3127.431368211225,3145.802535477491,1027479
2023-05-15,3122.682373046875,3158.129742358722,3116.2548775826435,3150.4550649775347,1150390
2023-05-16,3125.65625,3151.4144803048725,3118.2694196740676,3123.7855941829725,986306
2023-05-17,3078.21728515625,3146.6178978888497,3068.19228412287,3123.545850910899,1588815
2023-05-18,3069.72705078125,3097.6435483622195,3065.074184078142,3094.765544433508,1369364
2023-05-19,3091.792236328125,3102.9683929996936,3072.797360553346,3079.4646905330087,1152449
2023-05-22,3164.557373046875,3173.91088650488,3086.227787363073,3098.6511250622157,1333243
2023-05-23,3162.974609375,3192.6179587624883,3156.307279863017,3171.560608341515,1687418
